Linux 3.10.0-1160.el7.x86_64 (test-deid) 	西元2023年06月06日 	_x86_64_	(8 CPU)

11時15分47秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
13時29分47秒     all      0.91      0.00      0.67      0.00      0.00     98.42
13時30分47秒     all      0.89      0.00      0.75      0.00      0.00     98.37
13時31分47秒     all      0.92      0.00      0.70      0.01      0.00     98.37
13時32分47秒     all      0.90      0.00      0.83      0.00      0.00     98.26
13時33分47秒     all      0.87      0.00      0.69      0.00      0.00     98.44
13時34分47秒     all      0.85      0.00      0.67      0.00      0.00     98.48
13時35分47秒     all      0.87      0.00      0.66      0.00      0.00     98.47
13時36分47秒     all      0.86      0.00      0.67      0.00      0.00     98.47
13時37分47秒     all      0.91      0.00      0.69      0.00      0.00     98.40
13時38分47秒     all      0.95      0.00      0.76      0.00      0.00     98.29
13時39分47秒     all      0.94      0.00      0.67      0.00      0.00     98.39
13時40分47秒     all      0.96      0.00      0.82      0.00      0.00     98.23
13時41分47秒     all      0.97      0.00      0.72      0.00      0.00     98.30
13時42分47秒     all      0.92      0.00      0.85      0.00      0.00     98.23
13時43分47秒     all      0.95      0.00      0.70      0.00      0.00     98.35
13時44分47秒     all      0.87      0.00      0.69      0.00      0.00     98.43
13時45分47秒     all      0.88      0.00      0.69      0.00      0.00     98.42
13時46分47秒     all      0.89      0.00      0.71      0.00      0.00     98.41
13時47分47秒     all      0.89      0.00      0.66      0.00      0.00     98.44
13時48分47秒     all      0.87      0.00      0.68      0.00      0.00     98.45
13時49分47秒     all      0.96      0.00      0.71      0.00      0.00     98.33
13時50分47秒     all      0.93      0.00      0.79      0.00      0.00     98.28
13時51分47秒     all      0.95      0.00      0.71      0.00      0.00     98.34
13時52分47秒     all      0.94      0.00      0.83      0.00      0.00     98.23
13時53分47秒     all      0.88      0.00      0.66      0.00      0.00     98.45
13時54分47秒     all      0.87      0.00      0.67      0.00      0.00     98.46
13時55分47秒     all      0.91      0.00      0.71      0.00      0.00     98.38
13時56分47秒     all      0.92      0.00      0.72      0.00      0.00     98.36
13時57分47秒     all      0.88      0.00      0.66      0.00      0.00     98.45
13時58分47秒     all      0.90      0.00      0.78      0.00      0.00     98.32
